Time,zone_id,no_of_ppl,zone_name
10:19:00,5,0,Stables Exhibition
10:24:00,5,0,Stables Exhibition
10:29:00,5,0,Stables Exhibition
10:34:00,5,0,Stables Exhibition
10:40:00,5,2,Stables Exhibition
10:45:00,5,2,Stables Exhibition
10:50:00,5,3,Stables Exhibition
10:55:00,5,4,Stables Exhibition
11:00:00,5,5,Stables Exhibition
11:06:00,5,5,Stables Exhibition
11:11:00,5,6,Stables Exhibition
11:16:00,5,6,Stables Exhibition
11:21:00,5,8,Stables Exhibition
11:27:00,5,7,Stables Exhibition
11:32:00,5,9,Stables Exhibition
11:37:00,5,4,Stables Exhibition
11:42:00,5,8,Stables Exhibition
11:48:00,5,3,Stables Exhibition
11:53:00,5,5,Stables Exhibition
11:58:00,5,7,Stables Exhibition
12:03:00,5,4,Stables Exhibition
12:09:00,5,6,Stables Exhibition
12:14:00,5,7,Stables Exhibition
12:19:00,5,7,Stables Exhibition
12:24:00,5,7,Stables Exhibition
12:30:00,5,6,Stables Exhibition
12:35:00,5,9,Stables Exhibition
12:40:00,5,9,Stables Exhibition
12:45:00,5,4,Stables Exhibition
12:51:00,5,7,Stables Exhibition
12:56:00,5,5,Stables Exhibition
13:01:00,5,5,Stables Exhibition
13:06:00,5,6,Stables Exhibition
13:12:00,5,7,Stables Exhibition
13:17:00,5,6,Stables Exhibition
13:22:00,5,7,Stables Exhibition
13:27:00,5,9,Stables Exhibition
13:33:00,5,8,Stables Exhibition
13:38:00,5,7,Stables Exhibition
13:43:00,5,7,Stables Exhibition
13:48:00,5,8,Stables Exhibition
13:54:00,5,9,Stables Exhibition
13:59:00,5,6,Stables Exhibition
14:04:00,5,5,Stables Exhibition
14:09:00,5,7,Stables Exhibition
14:15:00,5,5,Stables Exhibition
14:20:00,5,7,Stables Exhibition
14:25:00,5,6,Stables Exhibition
14:30:00,5,6,Stables Exhibition
14:36:00,5,5,Stables Exhibition
14:41:00,5,10,Stables Exhibition
14:46:00,5,8,Stables Exhibition
14:51:00,5,9,Stables Exhibition
14:57:00,5,11,Stables Exhibition
15:02:00,5,9,Stables Exhibition
15:07:00,5,10,Stables Exhibition
15:12:00,5,9,Stables Exhibition
15:18:00,5,9,Stables Exhibition
15:23:00,5,8,Stables Exhibition
15:28:00,5,8,Stables Exhibition
15:33:00,5,7,Stables Exhibition
15:39:00,5,6,Stables Exhibition
15:44:00,5,7,Stables Exhibition
15:49:00,5,7,Stables Exhibition
15:54:00,5,5,Stables Exhibition
